method,family,order_seed,lr,trainable_params,budget_rel_error,pairs_json,lora_layers_json,lora_rank,updates,train_wall_seconds,mean_grad_norm,parameter_delta_l2,relative_parameter_delta,peak_gpu_gib,delta_merge_max_nll_diff,surrogate_target_improvement,surrogate_control_improvement,target_improvement,control_improvement,control_damage,specific_gain,relative_target_improvement,relative_control_improvement,relative_utility_score,relative_specific_gain,target_token_acc,generation_accuracy,base_generation_accuracy,generation_accuracy_gain
gradient_experts,full_expert,23,1e-05,12582912,0.0,"[[18, 43], [20, 219], [21, 183], [30, 229]]",,,64,325.1319942474365,1.0536629250273108,0.9729377748972108,0.011288141820274789,64.67935943603516,0.07778644561767578,0.343242883682251,0.23394107818603516,0.3447216749191284,0.233903169631958,-0.233903169631958,0.11081850528717041,0.33849967223861027,0.12543812711168223,0.33849967223861027,0.21306154512692804,0.8448373079299927,0.75,0.796875,-0.046875
gradient_experts,full_expert,47,1e-05,12582912,0.0,"[[18, 43], [20, 219], [21, 183], [30, 229]]",,,64,324.9374372959137,1.0589554188773036,0.972175475493437,0.011279297530330122,64.67935943603516,0.09561848640441895,0.34946244955062866,0.2324666976928711,0.3498811721801758,0.23192548751831055,-0.23192548751831055,0.11795568466186523,0.3435660439200262,0.12437753122173102,0.3435660439200262,0.2191885126982952,0.8458243608474731,0.7265625,0.796875,-0.0703125
gradient_specific_experts,full_expert,11,1e-05,12582912,0.0,"[[8, 184], [19, 34], [21, 183], [27, 247]]",,,64,324.7152433395386,0.7768220296129584,0.7511081034687727,0.008701279486677958,64.67935943603516,0.22716212272644043,0.18684345483779907,0.004181623458862305,0.18382370471954346,0.007705330848693848,-0.007705330848693848,0.1761183738708496,0.1805058060589034,0.004132232461650093,0.1805058060589034,0.1763735735972533,0.8397955894470215,0.7734375,0.796875,-0.0234375
gradient_specific_experts,full_expert,23,1e-05,12582912,0.0,"[[8, 184], [19, 34], [21, 183], [27, 247]]",,,64,324.56627130508423,0.7884217714890838,0.7515854741786382,0.008706809630669363,64.67935943603516,0.2209165096282959,0.18390870094299316,-0.0004730224609375,0.18603670597076416,0.0021734237670898438,-0.0021734237670898438,0.18386328220367432,0.1826788640726694,0.001165568671825804,0.1826788640726694,0.1815132954008436,0.8389395475387573,0.8125,0.796875,0.015625
gradient_specific_experts,full_expert,47,1e-05,12582912,0.0,"[[8, 184], [19, 34], [21, 183], [27, 247]]",,,64,324.67682337760925,0.7845074059441686,0.7522452517725989,0.008714452883641323,64.67935943603516,0.17444872856140137,0.1869046688079834,0.003009319305419922,0.18522965908050537,0.0004388093948364258,-0.0004388093948364258,0.18479084968566895,0.1818863838554104,0.00023532570650454062,0.1818863838554104,0.18165105814890586,0.8397606611251831,0.78125,0.796875,-0.015625
standard_lora,lora,11,0.0002,12288000,0.0234375,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",12.0,64,342.86750316619873,0.346160888671875,9.241678734607158,0.3652184240402172,64.65540790557861,,,,0.5870209634304047,0.7850587368011475,-0.7850587368011475,-0.1980377733707428,0.5764256157231821,0.42101309602580206,0.5764256157231821,0.15541251969738,0.875017523765564,0.7265625,0.796875,-0.0703125
standard_lora,lora,23,0.0002,12288000,0.0234375,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",12.0,64,342.9232277870178,0.339874267578125,9.301023584659003,0.36753129287163383,64.65540790557861,,,,0.5886507034301758,0.7879444360733032,-0.7879444360733032,-0.19929373264312744,0.5780259399728426,0.4225606454355699,0.5780259399728426,0.15546529453727265,0.8768577575683594,0.7578125,0.796875,-0.0390625
standard_lora,lora,47,0.0002,12288000,0.0234375,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",12.0,64,342.65367364883423,0.3480377197265625,9.344252914909214,0.3694309283281426,64.65540790557861,,,,0.5871096849441528,0.783501386642456,-0.783501386642456,-0.19639170169830322,0.5765127358711429,0.42017791671860966,0.5765127358711429,0.15633481915253328,0.8752936124801636,0.7734375,0.796875,-0.0234375
random_layer_lora,lora,11,0.0002,12533760,0.00390625,,"[8, 10, 13, 23, 26, 34, 35, 38]",60.0,64,323.7510039806366,0.3356781005859375,9.435183065416911,0.37284407346331905,64.65586566925049,,,,0.5788813829421997,0.7724651098251343,-0.7724651098251343,-0.19358372688293457,0.5684329493842768,0.4142593569298338,0.5684329493842768,0.154173592454443,0.8741943836212158,0.7578125,0.796875,-0.0390625
random_layer_lora,lora,23,0.0002,12533760,0.00390625,,"[8, 10, 13, 23, 26, 34, 35, 38]",60.0,64,323.46199345588684,0.3295745849609375,9.683051646186271,0.38276419241311443,64.65586566925049,,,,0.5820330381393433,0.7702873945236206,-0.7702873945236206,-0.18825435638427734,0.5715277192489582,0.4130914867841058,0.5715277192489582,0.1584362324648524,0.8744537830352783,0.765625,0.796875,-0.03125
random_layer_lora,lora,47,0.0002,12533760,0.00390625,,"[8, 10, 13, 23, 26, 34, 35, 38]",60.0,64,324.2603168487549,0.3377227783203125,9.423310192679597,0.3724189730432529,64.65586566925049,,,,0.5808943808078766,0.7918550968170166,-0.7918550968170166,-0.21096071600914001,0.570409613943906,0.4246578635289906,0.570409613943906,0.1457517504149154,0.8741245269775391,0.75,0.796875,-0.046875
gradient_guided_lora,lora,11,0.0002,12644352,0.0048828125,,"[20, 24, 19, 23, 21, 18, 16, 25]",63.0,64,323.4266164302826,0.3944091796875,7.902112210700623,0.30481389721142926,64.65607166290283,,,,0.5778223872184753,0.7723336219787598,-0.7723336219787598,-0.19451123476028442,0.5673930678466077,0.41418884232666225,0.5673930678466077,0.15320422551994545,0.8723230361938477,0.75,0.796875,-0.046875
gradient_guided_lora,lora,23,0.0002,12644352,0.0048828125,,"[20, 24, 19, 23, 21, 18, 16, 25]",63.0,64,324.1321642398834,0.38690185546875,7.855075257251627,0.3029494682597194,64.65607166290283,,,,0.5842880308628082,0.7796101570129395,-0.7796101570129395,-0.19532212615013123,0.5737420108161259,0.4180911191875797,0.5737420108161259,0.15565089162854617,0.8749021887779236,0.7265625,0.796875,-0.0703125
gradient_guided_lora,lora,47,0.0002,12644352,0.0048828125,,"[20, 24, 19, 23, 21, 18, 16, 25]",63.0,64,325.4842176437378,0.4016571044921875,7.814659205557975,0.3015001762740686,64.65607166290283,,,,0.5821427702903748,0.776637077331543,-0.776637077331543,-0.1944943070411682,0.5716354708058248,0.41649670921196896,0.5716354708058248,0.1551387615938558,0.8751012086868286,0.734375,0.796875,-0.0625
