layer,seed,level,group_size,experts_json,target_delta_nll,control_delta_nll,causal_specificity
24,17,5,1,[221],4.463553341338411e-05,0.0051218364387750626,-0.003796741795667913
24,17,5,1,[251],0.0043142493814229965,-0.011910935863852501,0.0043142493814229965
24,17,5,1,[100],0.0010626125149428844,0.0005288922693580389,0.0006659433129243553
24,53,0,32,"[65, 199, 216, 254, 146, 195, 252, 193, 11, 48, 157, 60, 188, 53, 20, 105, 179, 45, 77, 76, 49, 186, 230, 160, 25, 185, 3, 68, 15, 93, 74, 150]",-0.0036666912492364645,-0.0004344856715761125,-0.0036666912492364645
24,53,0,32,"[87, 142, 218, 8, 67, 42, 210, 90, 92, 170, 183, 149, 69, 110, 192, 220, 54, 129, 198, 38, 95, 235, 18, 203, 99, 212, 214, 30, 63, 7, 84, 247]",-0.013485562056303024,-0.038899976760149,-0.013485562056303024
24,53,0,32,"[255, 79, 172, 178, 52, 123, 128, 139, 94, 26, 108, 182, 114, 47, 32, 165, 196, 102, 34, 209, 83, 46, 180, 111, 13, 107, 144, 28, 154, 191, 19, 215]",-0.0019368171924725175,0.004980678670108318,-0.005672326195053756
24,53,0,32,"[41, 16, 222, 201, 227, 138, 243, 237, 91, 43, 148, 141, 155, 158, 241, 132, 176, 66, 31, 98, 194, 184, 171, 100, 246, 187, 229, 122, 236, 202, 119, 17]",-0.012549662962555885,0.038170937448740005,-0.04117786604911089
24,53,0,32,"[137, 206, 239, 190, 85, 197, 133, 166, 233, 156, 161, 152, 177, 174, 217, 5, 134, 120, 168, 97, 35, 208, 162, 221, 44, 4, 86, 113, 112, 106, 143, 136]",0.027035312727093697,-0.03159518167376518,0.027035312727093697
24,53,0,32,"[207, 121, 9, 242, 124, 116, 211, 147, 88, 58, 27, 159, 56, 181, 55, 151, 70, 173, 6, 115, 21, 204, 248, 10, 50, 24, 40, 249, 226, 135, 73, 29]",-0.002659127116203308,-0.01643451862037182,-0.002659127116203308
24,53,0,32,"[205, 234, 125, 131, 140, 1, 244, 51, 81, 2, 80, 59, 0, 163, 72, 231, 62, 37, 89, 103, 117, 33, 175, 145, 36, 71, 219, 64, 164, 238, 12, 78]",-0.021509487181901932,-0.06704819202423096,-0.021509487181901932
24,53,0,32,"[167, 126, 39, 228, 232, 127, 153, 169, 23, 213, 240, 96, 57, 245, 200, 250, 109, 224, 22, 223, 118, 130, 225, 101, 14, 189, 251, 104, 82, 61, 253, 75]",0.03672808036208153,0.07385923713445663,-0.018666347488760948
24,53,1,16,"[137, 206, 239, 190, 85, 197, 133, 166, 233, 156, 161, 152, 177, 174, 217, 5]",0.02680213749408722,-0.057733893394470215,0.02680213749408722
24,53,1,16,"[134, 120, 168, 97, 35, 208, 162, 221, 44, 4, 86, 113, 112, 106, 143, 136]",-0.00017168164777103812,-0.005365304183214903,-0.00017168164777103812
24,53,1,16,"[207, 121, 9, 242, 124, 116, 211, 147, 88, 58, 27, 159, 56, 181, 55, 151]",-0.003560958430171013,-0.017003431916236877,-0.003560958430171013
24,53,1,16,"[70, 173, 6, 115, 21, 204, 248, 10, 50, 24, 40, 249, 226, 135, 73, 29]",-0.0036807553842663765,-0.03184034675359726,-0.0036807553842663765
24,53,1,16,"[65, 199, 216, 254, 146, 195, 252, 193, 11, 48, 157, 60, 188, 53, 20, 105]",-0.009437027387320995,0.054418422281742096,-0.05025084409862757
24,53,1,16,"[179, 45, 77, 76, 49, 186, 230, 160, 25, 185, 3, 68, 15, 93, 74, 150]",0.009437568485736847,-0.05097348988056183,0.009437568485736847
24,53,1,16,"[255, 79, 172, 178, 52, 123, 128, 139, 94, 26, 108, 182, 114, 47, 32, 165]",-0.006745483726263046,-0.026717817410826683,-0.006745483726263046
24,53,1,16,"[196, 102, 34, 209, 83, 46, 180, 111, 13, 107, 144, 28, 154, 191, 19, 215]",0.002907348331063986,0.011259298771619797,-0.005537125747650862
24,53,2,8,"[137, 206, 239, 190, 85, 197, 133, 166]",0.027504878118634224,0.009332814253866673,0.02050526742823422
24,53,2,8,"[233, 156, 161, 152, 177, 174, 217, 5]",-0.006445886101573706,-0.04367072880268097,-0.006445886101573706
24,53,2,8,"[179, 45, 77, 76, 49, 186, 230, 160]",0.004181274678558111,-0.027058947831392288,0.004181274678558111
24,53,2,8,"[25, 185, 3, 68, 15, 93, 74, 150]",0.006985236890614033,-0.014528077095746994,0.006985236890614033
24,53,2,8,"[134, 120, 168, 97, 35, 208, 162, 221]",0.017229214310646057,-0.019526582211256027,0.017229214310646057
24,53,2,8,"[44, 4, 86, 113, 112, 106, 143, 136]",-0.016341734677553177,0.011791720055043697,-0.02518552471883595
24,53,2,8,"[207, 121, 9, 242, 124, 116, 211, 147]",-0.002392170950770378,0.005776960402727127,-0.006724891252815723
24,53,2,8,"[88, 58, 27, 159, 56, 181, 55, 151]",0.000430147658335045,-0.014150658622384071,0.000430147658335045
24,53,3,4,"[137, 206, 239, 190]",0.027777424082159996,0.007195980753749609,0.02238043851684779
24,53,3,4,"[85, 197, 133, 166]",-0.0008528351900167763,-0.017333421856164932,-0.0008528351900167763
24,53,3,4,"[134, 120, 168, 97]",0.015146362595260143,0.0032222645822912455,0.01272966415854171
24,53,3,4,"[35, 208, 162, 221]",0.002207484794780612,-0.005082960240542889,0.002207484794780612
24,53,3,4,"[25, 185, 3, 68]",0.0002062785642920062,-0.015990447252988815,0.0002062785642920062
24,53,3,4,"[15, 93, 74, 150]",0.006959395948797464,-0.031104527413845062,0.006959395948797464
24,53,3,4,"[179, 45, 77, 76]",-0.001209442038089037,-0.016350820660591125,-0.001209442038089037
24,53,3,4,"[49, 186, 230, 160]",0.004879508167505264,-0.002178641501814127,0.004879508167505264
24,53,4,2,"[137, 206]",0.02380632422864437,0.0038274002727121115,0.020935774024110287
24,53,4,2,"[239, 190]",-0.002123645506799221,-0.0075907944701612,-0.002123645506799221
24,53,4,2,"[134, 120]",-0.00042589008808135986,-0.0012337404768913984,-0.00042589008808135986
24,53,4,2,"[168, 97]",0.012867143377661705,-0.001345164724625647,0.012867143377661705
24,53,4,2,"[15, 93]",0.0003654009196907282,-0.0071159182116389275,0.0003654009196907282
24,53,4,2,"[74, 150]",0.006699021439999342,-0.010785446502268314,0.006699021439999342
24,53,4,2,"[49, 186]",-0.0022203968837857246,-0.009694566950201988,-0.0022203968837857246
24,53,4,2,"[230, 160]",0.008030598983168602,-0.00774400494992733,0.008030598983168602
24,53,5,1,[137],0.0008632916142232716,-0.0020674122497439384,0.0008632916142232716
24,53,5,1,[206],0.024778513237833977,0.0020259057637304068,0.02325908391503617
24,53,5,1,[168],0.012638410553336143,0.004414030816406012,0.009327887441031635
24,53,5,1,[97],-0.0010016619926318526,-0.0037296838127076626,-0.0010016619926318526
24,53,5,1,[230],0.0003950262034777552,-0.003847705200314522,0.0003950262034777552
24,53,5,1,[160],0.008931737393140793,0.006338826846331358,0.004177617258392274
24,53,5,1,[74],0.006699021439999342,-0.010785446502268314,0.006699021439999342
24,53,5,1,[150],0.0,0.0,0.0
24,101,0,32,"[221, 20, 101, 99, 119, 217, 82, 13, 71, 72, 127, 133, 23, 241, 5, 18, 237, 175, 107, 211, 77, 252, 125, 2, 86, 57, 92, 189, 197, 94, 89, 130]",-0.00012407540634740144,-0.037421636283397675,-0.00012407540634740144
24,101,0,32,"[236, 76, 253, 15, 117, 16, 102, 66, 156, 191, 135, 167, 176, 84, 106, 91, 4, 228, 190, 35, 165, 48, 45, 198, 112, 43, 21, 230, 105, 124, 67, 63]",-0.008161737583577633,-0.04581243917346001,-0.008161737583577633
24,101,0,32,"[188, 255, 10, 30, 158, 87, 59, 14, 97, 17, 150, 243, 74, 55, 148, 145, 210, 149, 95, 154, 103, 9, 207, 12, 201, 179, 22, 88, 24, 249, 61, 195]",0.007078817114233971,-0.02145492099225521,0.007078817114233971
24,101,0,32,"[78, 11, 178, 3, 80, 128, 238, 33, 200, 141, 202, 111, 53, 137, 152, 83, 177, 96, 220, 115, 60, 245, 68, 218, 0, 118, 173, 1, 39, 157, 242, 65]",-0.03751351311802864,-0.11563996970653534,-0.03751351311802864
24,101,0,32,"[19, 180, 50, 233, 69, 194, 225, 139, 75, 250, 110, 146, 116, 251, 64, 163, 51, 126, 7, 120, 248, 140, 34, 161, 203, 129, 232, 109, 70, 172, 26, 81]",0.012274426408112049,0.009523115120828152,0.005132090067490935
24,101,0,32,"[98, 229, 227, 122, 181, 93, 254, 184, 28, 174, 192, 144, 171, 121, 162, 90, 246, 213, 235, 231, 132, 142, 222, 170, 168, 58, 215, 196, 136, 199, 155, 108]",0.006580844055861235,0.01769097149372101,-0.0066873845644295216
24,101,0,32,"[32, 147, 56, 143, 151, 27, 187, 153, 208, 46, 223, 224, 169, 159, 113, 85, 42, 138, 182, 62, 31, 52, 6, 104, 244, 226, 123, 214, 131, 44, 134, 209]",0.02068922482430935,0.10898938775062561,-0.06105281598865986
24,101,0,32,"[185, 239, 193, 186, 240, 100, 29, 204, 247, 205, 41, 183, 49, 36, 160, 40, 8, 73, 25, 164, 38, 47, 216, 37, 212, 54, 234, 206, 79, 219, 166, 114]",0.028423037379980087,-0.022721633315086365,0.028423037379980087
24,101,1,16,"[185, 239, 193, 186, 240, 100, 29, 204, 247, 205, 41, 183, 49, 36, 160, 40]",0.005751508288085461,-0.033948563039302826,0.005751508288085461
24,101,1,16,"[8, 73, 25, 164, 38, 47, 216, 37, 212, 54, 234, 206, 79, 219, 166, 114]",0.02595595270395279,-0.001168475137092173,0.02595595270395279
24,101,1,16,"[188, 255, 10, 30, 158, 87, 59, 14, 97, 17, 150, 243, 74, 55, 148, 145]",0.008877899497747421,-0.006434383802115917,0.008877899497747421
24,101,1,16,"[210, 149, 95, 154, 103, 9, 207, 12, 201, 179, 22, 88, 24, 249, 61, 195]",0.001981710782274604,-0.0008441042737103999,0.001981710782274604
24,101,1,16,"[19, 180, 50, 233, 69, 194, 225, 139, 75, 250, 110, 146, 116, 251, 64, 163]",0.0021962947212159634,0.017051558941602707,-0.010592374484986067
24,101,1,16,"[51, 126, 7, 120, 248, 140, 34, 161, 203, 129, 232, 109, 70, 172, 26, 81]",0.005782756954431534,-0.0032861221116036177,0.005782756954431534
24,101,1,16,"[221, 20, 101, 99, 119, 217, 82, 13, 71, 72, 127, 133, 23, 241, 5, 18]",-0.00187297526281327,-0.0309028010815382,-0.00187297526281327
24,101,1,16,"[237, 175, 107, 211, 77, 252, 125, 2, 86, 57, 92, 189, 197, 94, 89, 130]",-0.0032135741785168648,-0.017634108662605286,-0.0032135741785168648
24,101,2,8,"[8, 73, 25, 164, 38, 47, 216, 37]",-0.0010377955622971058,-0.012400572188198566,-0.0010377955622971058
24,101,2,8,"[212, 54, 234, 206, 79, 219, 166, 114]",0.021487422287464142,0.013748827390372753,0.011175801744684577
24,101,2,8,"[188, 255, 10, 30, 158, 87, 59, 14]",0.001912205247208476,-0.005680460948497057,0.001912205247208476
24,101,2,8,"[97, 17, 150, 243, 74, 55, 148, 145]",0.009223640896379948,-0.01806648261845112,0.009223640896379948
24,101,2,8,"[51, 126, 7, 120, 248, 140, 34, 161]",0.003546286839991808,0.008382242172956467,-0.002740394789725542
24,101,2,8,"[203, 129, 232, 109, 70, 172, 26, 81]",0.0018918049754574895,-0.010135159827768803,0.0018918049754574895
24,101,2,8,"[185, 239, 193, 186, 240, 100, 29, 204]",-0.00039714694139547646,0.007390418089926243,-0.005939960508840159
24,101,2,8,"[247, 205, 41, 183, 49, 36, 160, 40]",0.008029255084693432,-0.052498091012239456,0.008029255084693432
24,101,3,4,"[212, 54, 234, 206]",0.02071830816566944,0.017625058069825172,0.007499514613300562
24,101,3,4,"[79, 219, 166, 114]",-0.0015507042407989502,-0.00800948403775692,-0.0015507042407989502
24,101,3,4,"[97, 17, 150, 243]",0.0008480197284370661,-0.0037500476464629173,0.0008480197284370661
24,101,3,4,"[74, 55, 148, 145]",0.008638205006718636,-0.024566320702433586,0.008638205006718636
24,101,3,4,"[247, 205, 41, 183]",0.0009294140618294477,-0.005925063509494066,0.0009294140618294477
24,101,3,4,"[49, 36, 160, 40]",0.004574732389301062,-0.027561554685235023,0.004574732389301062
24,101,3,4,"[188, 255, 10, 30]",-0.00245720986276865,-0.0019086486427113414,-0.00245720986276865
24,101,3,4,"[158, 87, 59, 14]",-0.0034336126409471035,0.006506660021841526,-0.008313607657328248
24,101,4,2,"[74, 55]",0.00546715222299099,-0.0031841599848121405,0.00546715222299099
24,101,4,2,"[148, 145]",-0.00024170517281163484,-0.007057564333081245,-0.00024170517281163484
24,101,4,2,"[212, 54]",4.8390029405709356e-05,0.002490035258233547,-0.001819136414269451
24,101,4,2,"[234, 206]",0.025156430900096893,0.008013274520635605,0.01914647500962019
24,101,4,2,"[49, 36]",0.0009207022376358509,-0.0008879447123035789,0.0009207022376358509
24,101,4,2,"[160, 40]",0.005651246756315231,-0.018373776227235794,0.005651246756315231
24,101,4,2,"[247, 205]",0.0027385323774069548,-0.020640546455979347,0.0027385323774069548
24,101,4,2,"[41, 183]",-0.0049677081406116486,0.0011864352272823453,-0.0058575345610734075
24,101,5,1,[234],-0.0025182939134538174,1.4227628525986802e-05,-0.0025289646348483075
24,101,5,1,[206],0.024778513237833977,0.0020259057637304068,0.02325908391503617
24,101,5,1,[160],0.008931737393140793,0.006338826846331358,0.004177617258392274
24,101,5,1,[40],-0.004294813144952059,-0.015420280396938324,-0.004294813144952059
24,101,5,1,[74],0.006699021439999342,-0.010785446502268314,0.006699021439999342
24,101,5,1,[55],0.0008549612830393016,0.0008291900157928467,0.00023306877119466662
24,101,5,1,[247],-0.0003292548644822091,-0.0023930282332003117,-0.0003292548644822091
24,101,5,1,[205],0.0025289051700383425,-0.013470156118273735,0.0025289051700383425
24,211,0,32,"[106, 107, 44, 204, 162, 97, 109, 98, 14, 119, 164, 116, 183, 126, 117, 57, 72, 177, 145, 87, 118, 34, 0, 37, 151, 79, 102, 128, 49, 31, 130, 6]",-0.004932171665132046,-0.0140515873208642,-0.004932171665132046
24,211,0,32,"[27, 159, 75, 36, 249, 8, 120, 231, 163, 160, 68, 236, 32, 26, 246, 48, 154, 125, 83, 219, 141, 192, 214, 206, 101, 252, 152, 33, 64, 135, 175, 13]",0.03478248044848442,0.02106190286576748,0.01898605329915881
24,211,0,32,"[10, 110, 144, 217, 71, 211, 234, 9, 208, 113, 238, 244, 228, 207, 95, 185, 171, 69, 254, 88, 173, 105, 63, 210, 58, 243, 216, 225, 77, 21, 169, 178]",-0.0025570220313966274,-0.04660949856042862,-0.0025570220313966274
24,211,0,32,"[94, 38, 190, 229, 100, 245, 74, 227, 156, 29, 56, 132, 22, 7, 78, 55, 41, 16, 143, 220, 104, 138, 139, 5, 1, 158, 195, 114, 147, 181, 172, 148]",-0.046153318136930466,-0.12149883061647415,-0.046153318136930466
24,211,0,32,"[11, 213, 200, 222, 65, 191, 165, 19, 133, 93, 199, 137, 180, 2, 232, 186, 4, 39, 218, 52, 50, 253, 202, 85, 215, 251, 86, 182, 20, 53, 131, 240]",-0.0006417280528694391,-0.011583697982132435,-0.0006417280528694391
24,211,0,32,"[242, 235, 226, 123, 168, 248, 62, 112, 111, 239, 146, 176, 35, 221, 224, 205, 184, 80, 194, 25, 40, 230, 140, 70, 201, 47, 18, 198, 76, 247, 45, 223]",0.022106509655714035,0.023426804691553116,0.004536406137049198
24,211,0,32,"[61, 67, 121, 237, 99, 66, 92, 150, 24, 89, 43, 23, 174, 167, 209, 212, 179, 51, 60, 188, 82, 157, 127, 142, 108, 241, 134, 30, 17, 187, 103, 91]",-0.011490247212350368,-0.03055322729051113,-0.011490247212350368
24,211,0,32,"[81, 3, 161, 155, 149, 15, 197, 73, 59, 28, 46, 115, 42, 96, 189, 170, 124, 196, 250, 193, 12, 166, 153, 54, 122, 233, 84, 136, 255, 90, 129, 203]",0.04316600784659386,0.08223669975996017,-0.018511516973376274
24,211,1,16,"[27, 159, 75, 36, 249, 8, 120, 231, 163, 160, 68, 236, 32, 26, 246, 48]",0.008797272108495235,-0.020935993641614914,0.008797272108495235
24,211,1,16,"[154, 125, 83, 219, 141, 192, 214, 206, 101, 252, 152, 33, 64, 135, 175, 13]",0.025134850293397903,0.03815669193863869,-0.003482668660581112
24,211,1,16,"[242, 235, 226, 123, 168, 248, 62, 112, 111, 239, 146, 176, 35, 221, 224, 205]",0.031418558210134506,0.016009893268346786,0.019411138258874416
24,211,1,16,"[184, 80, 194, 25, 40, 230, 140, 70, 201, 47, 18, 198, 76, 247, 45, 223]",-0.018113043159246445,-0.002397137926891446,-0.018113043159246445
24,211,1,16,"[11, 213, 200, 222, 65, 191, 165, 19, 133, 93, 199, 137, 180, 2, 232, 186]",-0.0043793185614049435,-0.010144471190869808,-0.0043793185614049435
24,211,1,16,"[4, 39, 218, 52, 50, 253, 202, 85, 215, 251, 86, 182, 20, 53, 131, 240]",0.0015317774377763271,0.0003688383148983121,0.001255148701602593
24,211,1,16,"[10, 110, 144, 217, 71, 211, 234, 9, 208, 113, 238, 244, 228, 207, 95, 185]",-0.006455187685787678,-0.05861344188451767,-0.006455187685787678
24,211,1,16,"[171, 69, 254, 88, 173, 105, 63, 210, 58, 243, 216, 225, 77, 21, 169, 178]",0.0021565237548202276,-0.018140612170100212,0.0021565237548202276
24,211,2,8,"[242, 235, 226, 123, 168, 248, 62, 112]",0.012813313864171505,-0.013146430253982544,0.012813313864171505
24,211,2,8,"[111, 239, 146, 176, 35, 221, 224, 205]",0.016199585050344467,0.03756740689277649,-0.0119759701192379
24,211,2,8,"[27, 159, 75, 36, 249, 8, 120, 231]",-0.0016167026478797197,-0.01280150655657053,-0.0016167026478797197
24,211,2,8,"[163, 160, 68, 236, 32, 26, 246, 48]",0.004476980771869421,-0.0249621719121933,0.004476980771869421
24,211,2,8,"[171, 69, 254, 88, 173, 105, 63, 210]",0.0056909252889454365,-0.030599884688854218,0.0056909252889454365
24,211,2,8,"[58, 243, 216, 225, 77, 21, 169, 178]",-0.0028958802577108145,-0.007123500574380159,-0.0028958802577108145
24,211,2,8,"[4, 39, 218, 52, 50, 253, 202, 85]",-0.001976808300241828,0.0032852001022547483,-0.004440708376932889
24,211,2,8,"[215, 251, 86, 182, 20, 53, 131, 240]",0.0057404921390116215,-0.01123570092022419,0.0057404921390116215
24,211,3,4,"[242, 235, 226, 123]",-0.0005352252628654242,-0.015461254864931107,-0.0005352252628654242
24,211,3,4,"[168, 248, 62, 112]",0.016164708882570267,0.0026160592678934336,0.014202664431650192
24,211,3,4,"[215, 251, 86, 182]",0.0028681911062449217,-0.034276243299245834,0.0028681911062449217
24,211,3,4,"[20, 53, 131, 240]",0.00026931584579870105,0.01679619960486889,-0.012327833857852966
24,211,3,4,"[171, 69, 254, 88]",0.0028791623190045357,-0.019501859322190285,0.0028791623190045357
24,211,3,4,"[173, 105, 63, 210]",-0.00035873710294254124,-0.017995614558458328,-0.00035873710294254124
24,211,3,4,"[163, 160, 68, 236]",0.007928973063826561,0.00038659630808979273,0.007639025832759216
24,211,3,4,"[32, 26, 246, 48]",0.0010471028508618474,-0.018127627670764923,0.0010471028508618474
24,211,4,2,"[168, 248]",0.012136323377490044,0.012925956398248672,0.0024418560788035393
24,211,4,2,"[62, 112]",0.0001510667789261788,-0.013427156955003738,0.0001510667789261788
24,211,4,2,"[163, 160]",0.0062117320485413074,0.009426992386579514,-0.0008585122413933277
24,211,4,2,"[68, 236]",0.0005358451744541526,-0.009880820289254189,0.0005358451744541526
24,211,4,2,"[171, 69]",0.0009501826716586947,-0.007654123939573765,0.0009501826716586947
24,211,4,2,"[254, 88]",0.002015066100284457,-0.01667390763759613,0.002015066100284457
24,211,4,2,"[215, 251]",0.0042791892774403095,-0.024145707488059998,0.0042791892774403095
24,211,4,2,"[86, 182]",-0.0025067918468266726,-0.0008952963398769498,-0.0025067918468266726
24,211,5,1,[215],-0.0010085010435432196,-0.0011690467363223433,-0.0010085010435432196
24,211,5,1,[251],0.0043142493814229965,-0.011910935863852501,0.0043142493814229965
24,211,5,1,[168],0.012638410553336143,0.004414030816406012,0.009327887441031635
24,211,5,1,[248],-0.0007759117870591581,-0.005417561624199152,-0.0007759117870591581
24,211,5,1,[254],-0.0023727864027023315,-0.0100460946559906,-0.0023727864027023315
24,211,5,1,[88],-0.002066053682938218,-0.0011793810408562422,-0.002066053682938218
24,211,5,1,[171],-0.002355777658522129,-0.0030662459321320057,-0.002355777658522129
24,211,5,1,[69],-0.0020793569274246693,-0.00642057042568922,-0.0020793569274246693
13,17,0,32,"[145, 83, 255, 126, 58, 109, 27, 19, 40, 139, 11, 158, 171, 210, 198, 108, 84, 57, 185, 114, 203, 181, 253, 148, 16, 50, 131, 77, 81, 117, 143, 110]",-0.002977535128593445,-5.281925041344948e-05,-0.002977535128593445
13,17,0,32,"[236, 206, 252, 149, 170, 56, 111, 63, 20, 91, 214, 200, 194, 12, 67, 197, 118, 155, 28, 30, 211, 34, 230, 154, 93, 188, 10, 48, 136, 29, 15, 102]",0.002943050814792514,0.031423889100551605,-0.02062486601062119
